Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.25,-.09,-.17,-.10,-.21,-.19,-.11,-.15,-.24,-.22,-.18,-.17,***,***,-.12,-.17,-.20
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.04,-.16,-.22,-.19,-.07,-.09,-.10,-.17,.04,-.08,-.19
1882,.16,.13,.04,-.16,-.14,-.23,-.17,-.08,-.15,-.24,-.17,-.37,-.11,-.09,.07,-.09,-.16,-.19
1883,-.29,-.37,-.12,-.19,-.18,-.07,-.08,-.14,-.22,-.12,-.24,-.11,-.18,-.20,-.34,-.16,-.10,-.20
1884,-.13,-.08,-.36,-.40,-.34,-.35,-.31,-.28,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.31,-.29
1885,-.59,-.34,-.27,-.42,-.45,-.44,-.34,-.31,-.28,-.23,-.24,-.11,-.34,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.28,-.25,-.32,-.30,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.21,-.22,-.17,-.10,-.16,-.12,.01,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.03
1889,-.09,.16,.06,.09,-.01,-.10,-.07,-.20,-.24,-.26,-.34,-.29,-.11,-.09,.01,.05,-.13,-.28
1890,-.42,-.45,-.40,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.32,-.36,-.35,-.39,-.37,-.31,-.35
1891,-.34,-.46,-.18,-.28,-.16,-.21,-.18,-.17,-.16,-.22,-.32,-.04,-.23,-.25,-.37,-.21,-.19,-.23
1892,-.29,-.12,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.39,-.28,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.23,-.28,-.34,-.25,-.14,-.25,-.22,-.19,-.19,-.32,-.32,-.32,-.59,-.28,-.21,-.20
1894,-.53,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.31,-.32,-.38,-.33,-.29,-.26
1895,-.41,-.43,-.33,-.22,-.28,-.21,-.17,-.17,-.13,-.11,-.18,-.15,-.23,-.24,-.35,-.28,-.19,-.14
1896,-.23,-.13,-.27,-.31,-.16,-.12,-.03,-.06,-.08,.05,-.05,-.05,-.12,-.13,-.17,-.25,-.07,-.03
1897,-.16,-.17,-.14,-.03,-.02,-.12,-.03,-.10,-.09,-.13,-.19,-.22,-.12,-.10,-.13,-.06,-.08,-.14
1898,-.03,-.31,-.52,-.31,-.31,-.20,-.23,-.28,-.23,-.35,-.39,-.24,-.28,-.28,-.19,-.38,-.24,-.32
1899,-.18,-.39,-.37,-.21,-.24,-.32,-.17,-.09,-.06,-.05,.11,-.28,-.19,-.18,-.27,-.27,-.19,.00
1900,-.37,-.06,.00,-.10,-.10,-.11,-.13,-.10,-.06,.08,-.08,-.08,-.09,-.11,-.24,-.07,-.11,-.02
1901,-.23,-.12,.05,-.03,-.16,-.13,-.15,-.21,-.23,-.30,-.17,-.28,-.16,-.15,-.14,-.05,-.16,-.23
1902,-.17,-.09,-.28,-.29,-.33,-.32,-.28,-.31,-.30,-.31,-.37,-.43,-.29,-.28,-.18,-.30,-.30,-.32
1903,-.25,-.07,-.24,-.42,-.41,-.43,-.35,-.46,-.50,-.47,-.43,-.52,-.38,-.37,-.25,-.35,-.42,-.47
1904,-.64,-.59,-.52,-.51,-.53,-.49,-.52,-.50,-.56,-.40,-.18,-.34,-.48,-.50,-.59,-.52,-.50,-.38
1905,-.36,-.60,-.22,-.35,-.31,-.29,-.27,-.21,-.20,-.26,-.08,-.14,-.27,-.29,-.43,-.29,-.26,-.18
1906,-.29,-.30,-.19,-.06,-.27,-.20,-.23,-.21,-.29,-.21,-.38,-.16,-.23,-.23,-.24,-.17,-.21,-.29
1907,-.44,-.52,-.28,-.38,-.47,-.43,-.36,-.35,-.35,-.24,-.47,-.48,-.40,-.37,-.37,-.38,-.38,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.39,-.36,-.47,-.37,-.45,-.53,-.50,-.44,-.44,-.42,-.46,-.40,-.45
1909,-.74,-.47,-.55,-.60,-.55,-.53,-.46,-.35,-.40,-.41,-.33,-.57,-.50,-.49,-.57,-.57,-.44,-.38
1910,-.44,-.42,-.52,-.44,-.35,-.40,-.35,-.37,-.40,-.42,-.58,-.68,-.45,-.44,-.48,-.44,-.37,-.46
1911,-.63,-.58,-.61,-.54,-.52,-.51,-.43,-.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.26,-.15,-.39,-.19,-.22,-.24,-.43,-.55,-.59,-.59,-.40,-.44,-.37,-.35,-.21,-.26,-.41,-.52
