time-tag,ssn,smoothed_ssn
1991-01,195.3,202.8
1991-02,240.3,204.4
1991-03,197,203.9
1991-04,197.6,203.8
1991-05,166.9,202.9
1991-06,224.7,202.8
1991-07,240.2,203.5
1991-08,240.8,203.3
1991-09,168.9,200.9
1991-10,197.1,196.7
1991-11,159.5,191.4
1991-12,212.6,183.1
1992-01,198.3,172.6
1992-02,230.7,161.1
1992-03,151,151.8
1992-04,142.2,146
1992-05,94.3,142.1
1992-06,98.5,137.1
1992-07,114.2,128.5
1992-08,91.9,119.3
1992-09,94,113
1992-10,133.4,109
1992-11,129.6,106.3
1992-12,122,104.5
1993-01,81.4,101.9
1993-02,127.8,99.3
1993-03,102.4,95.4
1993-04,94.4,90.2
1993-05,78.8,84.2
1993-06,69.6,78.6
1993-07,80.4,76.5
1993-08,62.5,73.6
1993-09,31.2,68.3
1993-10,71.1,63.2
1993-11,48.2,58.4
1993-12,68.4,55.1
1994-01,84.9,52.6
1994-02,54.9,50.2
1994-03,47.5,49.4
1994-04,27.4,49.6
1994-05,29.8,48.7
1994-06,39.7,46.4
1994-07,50.6,42.7
1994-08,34.3,40.1
1994-09,40.5,39.7
1994-10,67.1,39.4
1994-11,29.5,38.7
1994-12,32.2,37.6
1995-01,32.6,35.6
1995-02,45.8,33.7
1995-03,46.3,32
1995-04,21.6,29.4
1995-05,19.4,27.3
1995-06,22.5,25.9
1995-07,20.4,24.4
1995-08,18.2,22
1995-09,15.7,19
1995-10,30.6,17
1995-11,14,15.9
1995-12,14.9,15.1
1996-01,13.3,14.5
1996-02,7.7,14.2
1996-03,12.6,13.7
1996-04,6.8,12
1996-05,7.6,11.2
1996-06,16.5,11.6
1996-07,11.8,11.3
1996-08,19.7,11.2
1996-09,3,11.3
1996-10,0.7,12
1996-11,24.9,13.4
1996-12,14,14.3
1997-01,7.4,14.5
1997-02,11,15.2
1997-03,12.1,18.3
1997-04,23,22
1997-05,25.4,24.4
1997-06,20.8,27.2
1997-07,12.9,30.4
1997-08,35.7,33.6
1997-09,59.7,38.2
1997-10,32.8,43.1
1997-11,50.4,47.1
1997-12,55.5,52
1998-01,44.5,58.4
1998-02,50.2,65.4
1998-03,82,72
1998-04,70.6,76.9
1998-05,74,80.8
1998-06,90.5,85.4
1998-07,96.7,89.8
1998-08,121.1,93.5
1998-09,132,96.4
1998-10,78.5,98.2
1998-11,97.3,102.3
1998-12,119.2,110.4
1999-01,86,118.4
1999-02,98,122.5
1999-03,103.5,122.3
1999-04,93.6,125
1999-05,149.6,132.6
1999-06,207.2,136.3
1999-07,173.5,138.1
1999-08,142.3,142.9
1999-09,106.3,150.5
1999-10,168.7,159.3
1999-11,188.3,164.1
1999-12,116.8,164
2000-01,133.1,166.1
2000-02,165.7,170.6
2000-03,217.7,174.3
2000-04,191.5,175.2
2000-05,165.9,172.9
2000-06,188,172.7
2000-07,244.3,174.2
2000-08,180.5,172.8
2000-09,156,168.8
2000-10,141.6,165.3
2000-11,158.1,163.1
2000-12,143.3,162.7
2001-01,142.6,158.3
2001-02,121.5,152.5
2001-03,165.8,155.1
2001-04,161.7,160.7
2001-05,142.1,163.7
2001-06,202.9,167.4
2001-07,123,172
2001-08,161.5,175.8
2001-09,238.2,177.1
2001-10,194.1,177.3
2001-11,176.6,180.3
2001-12,213.4,179.1
2002-01,184.6,177.6
2002-02,170.2,179.7
2002-03,147.1,178.2
2002-04,186.9,174.4
2002-05,187.5,171.3
2002-06,128.8,166.9
2002-07,161,161.5
2002-08,175.6,155.4
2002-09,187.9,149.5
2002-10,151.2,143.9
2002-11,147.2,136
2002-12,135.3,131.4
2003-01,133.5,129.6
2003-02,75.7,125.7
2003-03,100.7,118.7
2003-04,97.9,111.9
2003-05,86.8,107
2003-06,118.7,101.7
2003-07,128.3,96
2003-08,115.4,92.9
2003-09,78.5,91.8
2003-10,97.8,89.1
2003-11,82.9,86.9
2003-12,72.2,84.1
2004-01,60.6,80.1
2004-02,74.6,76.4
2004-03,74.8,73.2
2004-04,59.2,71
2004-05,72.8,69.5
2004-06,66.5,67.1
2004-07,83.8,64.8
2004-08,69.7,63
2004-09,48.8,60.2
2004-10,74.2,57.9
2004-11,70.1,56.6
2004-12,28.9,55.7
2005-01,48.1,54.5
2005-02,43.5,53.2
2005-03,39.6,52.3
2005-04,38.7,49.3
2005-05,61.9,45
2005-06,56.8,44.5
2005-07,62.4,44.6
2005-08,60.5,41.9
2005-09,37.2,39.4
2005-10,13.2,38.9
2005-11,27.5,38.4
2005-12,59.3,36
2006-01,20.9,33
2006-02,5.7,29.7
2006-03,17.3,27.4
2006-04,50.3,27
2006-05,37.2,27.4
2006-06,24.5,26.2
2006-07,22.2,25
2006-08,20.8,25.9
2006-09,23.7,26
2006-10,14.9,23.7
2006-11,35.7,21.1
2006-12,22.3,20.2
2007-01,29.3,19.8
2007-02,18.4,19
2007-03,7.2,17.7
2007-04,5.4,16.4
2007-05,19.5,14.4
2007-06,21.3,12.8
2007-07,15.1,11.6
2007-08,9.8,9.9
2007-09,4,9.6
2007-10,1.5,9.9
2007-11,2.8,9.2
2007-12,17.3,7.9
2008-01,4.1,6.6
2008-02,2.9,5.6
2008-03,15.5,5.1
2008-04,3.6,5.1
2008-05,4.6,5.4
2008-06,5.2,4.8
2008-07,0.6,4
2008-08,0.3,3.8
2008-09,1.2,3.2
2008-10,4.2,2.4
2008-11,6.6,2.3
2008-12,1,2.2
2009-01,1.3,2.5
2009-02,1.2,2.7
2009-03,0.6,2.9
2009-04,1.2,3.3
2009-05,2.9,3.5
2009-06,6.3,4.1
2009-07,5.5,5.5
2009-08,0,7.4
2009-09,7.1,9.5
2009-10,7.7,10.9
2009-11,6.9,11.7
2009-12,16.3,12.7
2010-01,19.5,14
2010-02,28.5,16.1
2010-03,24,18.5
2010-04,10.4,20.8
2010-05,13.9,23.1
2010-06,18.8,24.6
2010-07,25.2,25.2
2010-08,29.6,26.4
2010-09,36.4,29.5
2010-10,33.6,34.5
2010-11,34.4,39.1
2010-12,24.5,42.5
2011-01,27.3,45.7
2011-02,48.3,48.8
2011-03,78.6,53.8
2011-04,76.1,61.1
2011-05,58.2,69.3
2011-06,56.1,77.2
2011-07,64.5,83.6
2011-08,65.8,86.3
2011-09,120.1,86.6
2011-10,125.7,87.4
2011-11,139.1,89.4
2011-12,109.3,92.5
2012-01,94.4,95.5
2012-02,47.8,98.1
2012-03,86.6,98.3
2012-04,85.9,95.1
2012-05,96.5,90.9
2012-06,92,86.6
2012-07,100.1,84.5
2012-08,94.8,85.1
2012-09,93.7,85.3
2012-10,76.5,85.8
2012-11,87.6,87.7
2012-12,56.8,88.1
2013-01,96.1,86.8
2013-02,60.9,86.1
2013-03,78.3,84.4
2013-04,107.3,84.3
2013-05,120.2,87
2013-06,76.7,90.9
2013-07,86.2,94.6
2013-08,91.8,99
2013-09,54.5,104.6
2013-10,114.4,107
2013-11,113.9,106.9
2013-12,124.2,107.6
2014-01,117,109.3
2014-02,146.1,110.5
2014-03,128.7,114.3
2014-04,112.5,116.4
2014-05,112.5,115
2014-06,102.9,114.1
2014-07,100.2,112.6
2014-08,106.9,108.3
2014-09,130,101.9
2014-10,90,97.3
2014-11,103.6,94.7
2014-12,112.9,92.2
2015-01,93,89.3
2015-02,66.7,86.1
2015-03,54.5,82.1
2015-04,75.3,78.9
2015-05,88.8,76.1
2015-06,66.5,72.1
2015-07,65.8,68.3
2015-08,64.4,66.4
2015-09,78.6,65.9
2015-10,63.6,64.3
2015-11,62.2,61.2
2015-12,58,57.8
2016-01,57,54.4
2016-02,56.4,52.5
2016-03,54.1,50.4
2016-04,37.9,47.8
2016-05,51.5,44.8
2016-06,20.5,41.5
2016-07,32.4,38.5
2016-08,50.2,36
2016-09,44.6,33.2
2016-10,33.4,31.5
2016-11,21.4,29.9
2016-12,18.5,28.5
2017-01,26.1,27.8
2017-02,26.4,26.5
2017-03,17.7,25.7
2017-04,32.3,24.8
2017-05,18.9,23.3
2017-06,19.2,22.2
2017-07,17.8,21
2017-08,32.6,19.6
2017-09,43.7,18.3
2017-10,13.2,16.7
2017-11,5.7,15.4
2017-12,8.2,15.1
2018-01,6.8,14.2
2018-02,10.7,12.6
2018-03,2.5,9.9
2018-04,8.9,7.8
2018-05,13.1,7.5
2018-06,15.6,7.2
2018-07,1.6,7
2018-08,8.7,6.7
2018-09,3.3,6.5
2018-10,4.9,6.8
2018-11,4.9,6.7
2018-12,3.1,6
2019-01,7.7,5.4
2019-02,0.8,5
2019-03,9.4,4.6
2019-04,9.1,4.3
2019-05,9.9,3.9
2019-06,1.2,3.7
2019-07,0.9,3.5
2019-08,0.5,3.4
2019-09,1.1,3.1
2019-10,0.4,2.6
2019-11,0.5,2
2019-12,1.5,1.8
2020-01,6.2,2.2
2020-02,0.2,2.7
2020-03,1.5,3
2020-04,5.2,3.6
2020-05,0.2,5.6
2020-06,5.8,7.9
2020-07,6.1,9
2020-08,7.5,9.5
2020-09,0.6,10.5
2020-10,14.6,11.9
2020-11,34.5,13.6
2020-12,23.1,15.3
2021-01,10.4,17.3
2021-02,8.2,19
2021-03,17.2,21.7
2021-04,24.5,24.8
2021-05,21.2,25.8
2021-06,25,27.6
2021-07,34.3,31.4
2021-08,22,35.4
2021-09,51.3,40.2
2021-10,37.4,45.2
2021-11,34.8,50.8
2021-12,67.5,55.9
2022-01,55.3,60.1
2022-02,60.9,64.7
2022-03,78.6,68.7
2022-04,84,73
2022-05,96.5,77.4
2022-06,70.3,81.1
2022-07,91.4,86.7
2022-08,74.6,92.6
2022-09,96,96.5
2022-10,95.5,98.9
2022-11,80.5,101.2
2022-12,112.8,106.7
2023-01,144.4,113.3
2023-02,111.3,117.8
2023-03,123.3,121.1
2023-04,97.6,122.9
2023-05,137.4,124.2
2023-06,160.5,125.3
2023-07,160,124.6
2023-08,114.8,124.3
2023-09,134.2,124
2023-10,99.9,124.8
2023-11,107.1,127.9
2023-12,113.5,129.5
2024-01,126,131.2
2024-02,123,136.9
2024-03,103.7,141.4
2024-04,137,144.5
2024-05,172.1,149.1
2024-06,164.1,152.7
2024-07,196.8,154.9
2024-08,216,156.7
2024-09,141.1,159.3
2024-10,166.4,-1
2024-11,152.5,-1
2024-12,154.5,-1
2025-01,137,-1
2025-02,154.6,-1
2025-03,134.2,-1
