feature,importance
sssn,0.2595194076743295
year,0.21537427938429488
residual_lag_1,0.14635154468461709
sisnthick,0.08601606392655334
vyo,0.06523934874938059
residual_lag_2,0.041686345167069275
sithick,0.040621904830791006
10v,0.024236966171573945
vxo,0.017835131793821846
ao,0.01694621486658107
10u,0.012586768281101073
tp,0.01218268520435102
tprate,0.011619178811589448
month_sin,0.009901406437751904
snswrf,0.008986850441463285
sp,0.008246288217397512
sdlwrf,0.006536410674815444
skt,0.0062525001491087785
2t,0.005603426823758089
sdswrf,0.0038883967710796503
month_cos,0.00036888093857121373
