UniqueAnimalID,timestamp,mu_lat,mu_lon,se_mu_x,se_mu_y
1,7/1/1986 0:00,69.7687,-141.3759,14589,14589
1,7/1/1986 6:00,69.7703,-141.3863,12248,12248
1,7/1/1986 12:00,69.7718,-141.3942,9375,9375
1,7/1/1986 18:00,69.773,-141.396,5835,5835
1,7/2/1986 0:00,69.7738,-141.3834,2517,2517
1,7/2/1986 6:00,69.7736,-141.3448,5323,5323
1,7/2/1986 12:00,69.7727,-141.2902,8840,8840
1,7/2/1986 18:00,69.7717,-141.2289,11637,11637
1,7/3/1986 0:00,69.7705,-141.1647,13842,13842
1,7/3/1986 6:00,69.7692,-141.0994,15595,15595
1,7/3/1986 12:00,69.7679,-141.0335,16995,16995
1,7/3/1986 18:00,69.7665,-140.9674,18106,18106
1,7/4/1986 0:00,69.7651,-140.9013,18974,18974
1,7/4/1986 6:00,69.7637,-140.8351,19629,19629
1,7/4/1986 12:00,69.7623,-140.7689,20091,20091
1,7/4/1986 18:00,69.7608,-140.7027,20372,20372
1,7/5/1986 0:00,69.7594,-140.6365,20479,20479
1,7/5/1986 6:00,69.7579,-140.5703,20417,20417
1,7/5/1986 12:00,69.7563,-140.5041,20182,20182
1,7/5/1986 18:00,69.7548,-140.438,19769,19769
1,7/6/1986 0:00,69.7532,-140.3718,19166,19166
1,7/6/1986 6:00,69.7516,-140.3058,18357,18357
1,7/6/1986 12:00,69.7499,-140.2398,17313,17313
1,7/6/1986 18:00,69.7483,-140.1741,15995,15995
1,7/7/1986 0:00,69.7466,-140.109,14343,14343
1,7/7/1986 6:00,69.745,-140.0453,12269,12269
1,7/7/1986 12:00,69.7434,-139.9849,9645,9645
1,7/7/1986 18:00,69.7421,-139.9324,6323,6323
1,7/8/1986 0:00,69.7413,-139.8986,2745,2745
1,7/8/1986 6:00,69.7416,-139.9017,4745,4745
1,7/8/1986 12:00,69.7428,-139.9313,8344,8344
1,7/8/1986 18:00,69.7442,-139.9722,11227,11227
1,7/9/1986 0:00,69.7459,-140.0179,13490,13490
1,7/9/1986 6:00,69.7475,-140.0655,15279,15279
1,7/9/1986 12:00,69.7492,-140.114,16697,16697
1,7/9/1986 18:00,69.7508,-140.1629,17815,17815
1,7/10/1986 0:00,69.7525,-140.2119,18678,18678
1,7/10/1986 6:00,69.7541,-140.261,19319,19319
1,7/10/1986 12:00,69.7557,-140.3102,19758,19758
1,7/10/1986 18:00,69.7573,-140.3593,20008,20008
1,7/11/1986 0:00,69.7589,-140.4085,20076,20076
1,7/11/1986 6:00,69.7605,-140.4577,19964,19964
1,7/11/1986 12:00,69.7621,-140.5068,19668,19668
1,7/11/1986 18:00,69.7636,-140.556,19181,19181
1,7/12/1986 0:00,69.7652,-140.6052,18488,18488
1,7/12/1986 6:00,69.7667,-140.6544,17565,17565
1,7/12/1986 12:00,69.7683,-140.7036,16379,16379
1,7/12/1986 18:00,69.7698,-140.7528,14877,14877
1,7/13/1986 0:00,69.7714,-140.8019,12982,12982
1,7/13/1986 6:00,69.773,-140.851,10578,10578
1,7/13/1986 12:00,69.7749,-140.8998,7513,7513
1,7/13/1986 18:00,69.7775,-140.948,3788,3788
1,8/12/1986 18:00,70.4798,-146.4,1773,1773
1,8/13/1986 0:00,70.472,-146.3704,5407,5407
1,8/13/1986 6:00,70.4631,-146.338,9083,9083
1,8/13/1986 12:00,70.4536,-146.3045,12024,12024
1,8/13/1986 18:00,70.4438,-146.2705,14408,14408
1,8/14/1986 0:00,70.434,-146.2363,16379,16379
1,8/14/1986 6:00,70.4241,-146.2021,18035,18035
1,8/14/1986 12:00,70.4141,-146.1679,19442,19442
1,8/14/1986 18:00,70.4042,-146.1337,20646,20646
1,8/15/1986 0:00,70.3943,-146.0995,21679,21679
1,8/15/1986 6:00,70.3843,-146.0653,22562,22562
1,8/15/1986 12:00,70.3743,-146.0312,23314,23314
1,8/15/1986 18:00,70.3644,-145.9971,23946,23946
1,8/16/1986 0:00,70.3544,-145.9631,24467,24467
1,8/16/1986 6:00,70.3444,-145.929,24884,24884
1,8/16/1986 12:00,70.3344,-145.895,25202,25202
1,8/16/1986 18:00,70.3245,-145.8611,25426,25426
1,8/17/1986 0:00,70.3145,-145.8271,25558,25558
1,8/17/1986 6:00,70.3045,-145.7932,25598,25598
1,8/17/1986 12:00,70.2944,-145.7594,25548,25548
1,8/17/1986 18:00,70.2844,-145.7255,25407,25407
1,8/18/1986 0:00,70.2744,-145.6917,25173,25173
1,8/18/1986 6:00,70.2644,-145.658,24844,24844
1,8/18/1986 12:00,70.2543,-145.6242,24416,24416
1,8/18/1986 18:00,70.2443,-145.5905,23884,23884
1,8/19/1986 0:00,70.2343,-145.5568,23240,23240
1,8/19/1986 6:00,70.2242,-145.5232,22475,22475
1,8/19/1986 12:00,70.2142,-145.4896,21577,21577
1,8/19/1986 18:00,70.2041,-145.456,20527,20527
1,8/20/1986 0:00,70.194,-145.4225,19303,19303
1,8/20/1986 6:00,70.184,-145.3889,17872,17872
1,8/20/1986 12:00,70.174,-145.3555,16187,16187
1,8/20/1986 18:00,70.1642,-145.322,14180,14180
1,8/21/1986 0:00,70.1548,-145.2886,11750,11750
1,8/21/1986 6:00,70.1462,-145.2552,8761,8761
1,8/21/1986 12:00,70.1396,-145.2219,5100,5100
1,8/21/1986 18:00,70.138,-145.1886,2595,2595
1,8/22/1986 0:00,70.1437,-145.1554,6047,6047
1,8/22/1986 6:00,70.1534,-145.1222,9442,9442
1,8/22/1986 12:00,70.1647,-145.0889,12134,12134
1,8/22/1986 18:00,70.1767,-145.0556,14269,14269
1,8/23/1986 0:00,70.1889,-145.0223,15978,15978
1,8/23/1986 6:00,70.2013,-144.9889,17352,17352
1,8/23/1986 12:00,70.2138,-144.9555,18453,18453
1,8/23/1986 18:00,70.2262,-144.922,19324,19324
1,8/24/1986 0:00,70.2387,-144.8885,19991,19991
1,8/24/1986 6:00,70.2511,-144.855,20474,20474
1,8/24/1986 12:00,70.2636,-144.8214,20786,20786
1,8/24/1986 18:00,70.276,-144.7878,20935,20935
1,8/25/1986 0:00,70.2885,-144.7541,20923,20923
1,8/25/1986 6:00,70.3009,-144.7204,20750,20750
1,8/25/1986 12:00,70.3133,-144.6867,20412,20412
1,8/25/1986 18:00,70.3257,-144.6529,19902,19902
1,8/26/1986 0:00,70.3382,-144.6191,19205,19205
1,8/26/1986 6:00,70.3506,-144.5853,18302,18302
1,8/26/1986 12:00,70.3629,-144.5516,17162,17162
1,8/26/1986 18:00,70.3753,-144.518,15741,15741
1,8/27/1986 0:00,70.3876,-144.4851,13974,13974
1,8/27/1986 6:00,70.3999,-144.4537,11763,11763
1,8/27/1986 12:00,70.4119,-144.4257,8967,8967
1,8/27/1986 18:00,70.4235,-144.4062,5413,5413
1,8/28/1986 0:00,70.4339,-144.4067,1792,1792
1,8/28/1986 6:00,70.444,-144.4368,4952,4952
1,8/28/1986 12:00,70.4551,-144.4809,8571,8571
1,8/28/1986 18:00,70.4665,-144.531,11406,11406
1,8/29/1986 0:00,70.4781,-144.5836,13626,13626
1,8/29/1986 6:00,70.4897,-144.6373,15377,15377
1,8/29/1986 12:00,70.5014,-144.6915,16761,16761
1,8/29/1986 18:00,70.513,-144.746,17848,17848
1,8/30/1986 0:00,70.5246,-144.8006,18683,18683
1,8/30/1986 6:00,70.5363,-144.8553,19295,19295
1,8/30/1986 12:00,70.5479,-144.91,19705,19705
1,8/30/1986 18:00,70.5594,-144.9649,19924,19924
1,8/31/1986 0:00,70.571,-145.0198,19959,19959
1,8/31/1986 6:00,70.5826,-145.0747,19811,19811
1,8/31/1986 12:00,70.5941,-145.1297,19475,19475
1,8/31/1986 18:00,70.6056,-145.1848,18943,18943
1,9/1/1986 0:00,70.6171,-145.2399,18196,18196
1,9/1/1986 6:00,70.6286,-145.2949,17211,17211
1,9/1/1986 12:00,70.6401,-145.3498,15947,15947
1,9/1/1986 18:00,70.6515,-145.4043,14346,14346
1,9/2/1986 0:00,70.6628,-145.4577,12322,12322
1,9/2/1986 6:00,70.6739,-145.5083,9747,9747
1,9/2/1986 12:00,70.6846,-145.5523,6468,6468
1,9/2/1986 18:00,70.6944,-145.5806,2839,2839
1,9/3/1986 0:00,70.7022,-145.5769,4656,4656
1,9/3/1986 6:00,70.7086,-145.5493,8433,8433
1,9/3/1986 12:00,70.7144,-145.5115,11574,11574
1,9/3/1986 18:00,70.7199,-145.4693,14157,14157
1,9/4/1986 0:00,70.7253,-145.4253,16323,16323
1,9/4/1986 6:00,70.7306,-145.3806,18174,18174
1,9/4/1986 12:00,70.7359,-145.3354,19781,19781
1,9/4/1986 18:00,70.7412,-145.2901,21193,21193
1,9/5/1986 0:00,70.7464,-145.2448,22443,22443
1,9/5/1986 6:00,70.7517,-145.1994,23557,23557
1,9/5/1986 12:00,70.7569,-145.1539,24553,24553
1,9/5/1986 18:00,70.7622,-145.1084,25444,25444
1,9/6/1986 0:00,70.7674,-145.0629,26241,26241
1,9/6/1986 6:00,70.7726,-145.0174,26952,26952
1,9/6/1986 12:00,70.7778,-144.9718,27584,27584
1,9/6/1986 18:00,70.7829,-144.9262,28143,28143
1,9/7/1986 0:00,70.7881,-144.8806,28631,28631
1,9/7/1986 6:00,70.7933,-144.835,29054,29054
1,9/7/1986 12:00,70.7984,-144.7894,29414,29414
1,9/7/1986 18:00,70.8035,-144.7437,29713,29713
